INFO:OpenGL.acceleratesupport:No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
INFO:qasync:Using Qt Implementation: PyQt6
DEBUG:matplotlib:matplotlib data path: /opt/homebrew/lib/python3.11/site-packages/matplotlib/mpl-data
DEBUG:matplotlib:CONFIGDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib:interactive is False
DEBUG:matplotlib:platform is darwin
DEBUG:matplotlib:CACHEDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/isabelburgos/.matplotlib/fontlist-v330.json
DEBUG:asyncio:Using selector: _Selector
INFO:new_socket_test:recieved data 401, length 16384
INFO:new_socket_test:recieved data 402, length 16384
INFO:new_socket_test:recieved data 403, length 16384
INFO:new_socket_test:recieved data 404, length 16384
INFO:new_socket_test:recieved data 405, length 16384
INFO:new_socket_test:recieved data 406, length 16384
INFO:new_socket_test:recieved data 407, length 16384
INFO:new_socket_test:recieved data 408, length 16384
INFO:new_socket_test:recieved data 409, length 16384
INFO:new_socket_test:recieved data 410, length 16384
INFO:new_socket_test:recieved data 411, length 16384
INFO:new_socket_test:recieved data 412, length 16384
INFO:new_socket_test:recieved data 413, length 16384
INFO:new_socket_test:recieved data 414, length 16384
INFO:new_socket_test:recieved data 415, length 16384
INFO:new_socket_test:recieved data 416, length 16384
INFO:new_socket_test:recieved data 417, length 16384
INFO:new_socket_test:recieved data 418, length 16384
INFO:new_socket_test:recieved data 419, length 16384
INFO:new_socket_test:recieved data 420, length 16384
INFO:new_socket_test:recieved data 421, length 16384
INFO:new_socket_test:recieved data 422, length 16384
INFO:new_socket_test:recieved data 423, length 16384
INFO:new_socket_test:recieved data 424, length 16384
INFO:new_socket_test:recieved data 425, length 16384
INFO:new_socket_test:recieved data 426, length 16384
INFO:new_socket_test:recieved data 427, length 16384
INFO:new_socket_test:recieved data 428, length 16384
INFO:new_socket_test:recieved data 429, length 16384
INFO:new_socket_test:recieved data 430, length 16384
INFO:new_socket_test:recieved data 431, length 16384
INFO:new_socket_test:recieved data 432, length 16384
INFO:new_socket_test:recieved data 433, length 16384
INFO:new_socket_test:recieved data 434, length 16384
INFO:new_socket_test:recieved data 435, length 16384
INFO:new_socket_test:recieved data 436, length 16384
INFO:new_socket_test:recieved data 437, length 16384
INFO:new_socket_test:recieved data 438, length 16384
INFO:new_socket_test:recieved data 439, length 16384
INFO:new_socket_test:recieved data 440, length 16384
INFO:new_socket_test:recieved data 441, length 16384
INFO:new_socket_test:recieved data 442, length 16384
INFO:new_socket_test:recieved data 443, length 16384
INFO:new_socket_test:recieved data 444, length 16384
INFO:new_socket_test:recieved data 445, length 16384
INFO:new_socket_test:recieved data 446, length 16384
INFO:new_socket_test:recieved data 447, length 16384
INFO:new_socket_test:recieved data 448, length 16384
INFO:new_socket_test:recieved data 449, length 16384
INFO:new_socket_test:recieved data 450, length 16384
INFO:new_socket_test:recieved data 451, length 16384
INFO:new_socket_test:recieved data 452, length 16384
